Gender,Category,Article_type,Base_color,Season,Usage,Display_product_name,link_image
Women,Topwear,Blouse,White,Summer,Casual,Women Blouse White Casual,https://id.pinterest.com/pin/4611615743856415744/
Men,Footwear,Sneakers,Black,Fall,Sport,Men Sneakers Black Sport,https://id.pinterest.com/pin/571394271971902344/
Unisex,Accessories,Scarf,Red,Winter,Casual,Unisex Scarf Red Casual,https://id.pinterest.com/pin/910571618761907199/
Women,Shoes,Boots,Brown,Fall,Casual,Women Boots Brown Casual,https://id.pinterest.com/pin/1014998834768120932/
Men,Topwear,T-shirt,Blue,Summer,Casual,Men T-shirt Blue Casual,https://id.pinterest.com/pin/571394271758638213/
Women,Accessories,Handbag,Pink,Spring,Formal,Women Handbag Pink Formal,https://id.pinterest.com/pin/746964288331483128/
Unisex,Topwear,Hoodie,Gray,Winter,Casual,Unisex Hoodie Gray Casual,https://id.pinterest.com/pin/194147433931067945/
Men,Footwear,Loafers,Brown,Spring,Formal,Men Loafers Brown Formal,https://id.pinterest.com/pin/189291990780021083/
Women,Topwear,Dress,Green,Summer,Formal,Women Dress Green Formal,https://id.pinterest.com/pin/893190538705568885/
Unisex,Accessories,Beanie,Black,Winter,Casual,Unisex Beanie Black Casual,https://id.pinterest.com/pin/571394271977616535/
Men,Topwear,Shirt,White,Spring,Formal,Men Shirt White Formal,https://id.pinterest.com/pin/115615915430528667/
Women,Shoes,Sandals,Yellow,Summer,Casual,Women Sandals Yellow Casual,https://id.pinterest.com/pin/1125125919493441723/
Unisex,Topwear,Sweatshirt,Gray,Fall,Sport,Unisex Sweatshirt Gray Sport,https://id.pinterest.com/pin/181269954575154299/
Men,Footwear,Dress Shoes,Black,Fall,Formal,Men Dress Shoes Black Formal,https://id.pinterest.com/pin/4611615745082935296/
Women,Accessories,Necklace,Silver,Summer,Formal,Women Necklace Silver Formal,https://id.pinterest.com/pin/1068197605375886442/
Unisex,Topwear,Tank Top,White,Summer,Sport,Unisex Tank Top White Sport,https://id.pinterest.com/pin/181269954579044788/
Men,Topwear,Polo Shirt,Blue,Spring,Casual,Men Polo Shirt Blue Casual,https://id.pinterest.com/pin/571394271973005995/
Women,Footwear,Flats,Red,Fall,Casual,Women Flats Red Casual,https://id.pinterest.com/pin/571394271973817899/
Unisex,Accessories,Backpack,Black,Fall,Casual,Unisex Backpack Black Casual,https://id.pinterest.com/pin/1070801248899225060/
Men,Topwear,Sweater,Green,Winter,Casual,Men Sweater Green Casual,https://id.pinterest.com/pin/3307399720840504/
Women,Shoes,Heels,Black,Spring,Formal,Women Heels Black Formal,https://id.pinterest.com/pin/571394271979263439/
Unisex,Topwear,Cardigan,Brown,Fall,Casual,Unisex Cardigan Brown Casual,https://id.pinterest.com/pin/921830617457636628/
Men,Accessories,Watch,Silver,Summer,Formal,Men Watch Silver Formal,https://id.pinterest.com/pin/571183165999841086/
Women,Topwear,Blazer,Navy,Fall,Formal,Women Blazer Navy Formal,https://id.pinterest.com/pin/154177987432837879/
Unisex,Footwear,Slip-ons,White,Spring,Casual,Unisex Slip-ons White Casual,https://id.pinterest.com/pin/656610820708216296/
Men,Topwear,Jacket,Black,Winter,Casual,Men Jacket Black Casual,https://id.pinterest.com/pin/1118581626195928684/
Women,Accessories,Earrings,Gold,Summer,Formal,Women Earrings Gold Formal,https://id.pinterest.com/pin/155303888235191538/
Unisex,Topwear,Vest,Gray,Fall,Casual,Unisex Vest Gray Casual,https://id.pinterest.com/pin/1016406209650551893/
Men,Shoes,Oxfords,Brown,Fall,Formal,Men Oxfords Brown Formal,https://id.pinterest.com/pin/1151303092239803715/
Women,Topwear,Tunic,Purple,Spring,Casual,Women Tunic Purple Casual,https://id.pinterest.com/pin/959900108092097755/
Unisex,Accessories,Belt,Brown,Fall,Casual,Unisex Belt Brown Casual,https://id.pinterest.com/pin/189291990769663477/
Men,Topwear,Henley,Blue,Summer,Casual,Men Henley Blue Casual,https://id.pinterest.com/pin/155303888230427436/
Women,Footwear,Ankle Boots,Black,Winter,Casual,Women Ankle Boots Black Casual,https://id.pinterest.com/pin/642959284338988680/
Unisex,Topwear,Pullover,Red,Winter,Casual,Unisex Pullover Red Casual,https://id.pinterest.com/pin/883761126881350847/
Men,Accessories,Tie,Blue,Spring,Formal,Men Tie Blue Formal,https://id.pinterest.com/pin/119626933845855651/
Women,Shoes,Wedges,Tan,Summer,Casual,Women Wedges Tan Casual,https://id.pinterest.com/pin/746964288331166778/
Unisex,Topwear,Turtleneck,Black,Winter,Casual,Unisex Turtleneck Black Casual,https://id.pinterest.com/pin/220887556717862606/
Men,Footwear,Sandals,Brown,Summer,Casual,Men Sandals Brown Casual,https://id.pinterest.com/pin/910571618737565919/
Women,Accessories,Bracelet,Silver,Spring,Casual,Women Bracelet Silver Casual,https://id.pinterest.com/pin/571394271980747106/
Unisex,Topwear,Crop Top,White,Summer,Casual,Unisex Crop Top White Casual,https://id.pinterest.com/pin/774619204676883059/
Men,Topwear,Button-down,Blue,Fall,Formal,Men Button-down Blue Formal,https://id.pinterest.com/pin/746964288305325219/
Women,Footwear,Mules,Black,Spring,Casual,Women Mules Black Casual,https://id.pinterest.com/pin/4611615759482489856/
Unisex,Accessories,Sunglasses,Black,Summer,Casual,Unisex Sunglasses Black Casual,https://id.pinterest.com/pin/910571618742632561/
Men,Shoes,Boots,Brown,Winter,Casual,Men Boots Brown Casual,https://id.pinterest.com/pin/4611615759276787712/
Women,Topwear,Camisole,Pink,Summer,Casual,Women Camisole Pink Casual,https://id.pinterest.com/pin/959900108100652036/
Unisex,Topwear,Poncho,Gray,Fall,Casual,Unisex Poncho Gray Casual,https://id.pinterest.com/pin/82331501651750986/
Men,Accessories,Wallet,Black,Fall,Casual,Men Wallet Black Casual,https://id.pinterest.com/pin/964474076446703300/
Women,Shoes,Loafers,Navy,Spring,Casual,Women Loafers Navy Casual,https://id.pinterest.com/pin/4611615741975966720/
Unisex,Footwear,Espadrilles,Beige,Summer,Casual,Unisex Espadrilles Beige Casual,https://id.pinterest.com/pin/530228556146929942/
Women,Topwear,Jumpsuit,Green,Spring,Casual,Women Jumpsuit Green Casual,https://id.pinterest.com/pin/1104507877366815150/
Men,Shoes,Sneakers,White,Summer,Sport,Men Sneakers White Sport,https://id.pinterest.com/pin/828873506453277987/
Unisex,Accessories,Hat,Tan,Summer,Casual,Unisex Hat Tan Casual,https://id.pinterest.com/pin/210543351566530916/
Women,Footwear,Pumps,Red,Fall,Formal,Women Pumps Red Formal,https://id.pinterest.com/pin/189291990771693907/
Men,Topwear,Tank Top,Gray,Summer,Sport,Men Tank Top Gray Sport,https://id.pinterest.com/pin/959900108099062907/
Unisex,Shoes,Slip-ons,Black,Spring,Casual,Unisex Slip-ons Black Casual,https://id.pinterest.com/pin/954903927241003476/
Women,Accessories,Clutch,Gold,Winter,Formal,Women Clutch Gold Formal,https://id.pinterest.com/pin/1104930089843841333/
Men,Footwear,Boots,Black,Winter,Casual,Men Boots Black Casual,https://id.pinterest.com/pin/210543351448733835/
Unisex,Topwear,Sweater,Blue,Fall,Casual,Unisex Sweater Blue Casual,https://id.pinterest.com/pin/1122451907097872100/
Women,Shoes,Flats,Beige,Spring,Casual,Women Flats Beige Casual,https://id.pinterest.com/pin/82331501635643529/
Men,Accessories,Scarf,Gray,Winter,Casual,Men Scarf Gray Casual,https://id.pinterest.com/pin/54113633026378908/
Unisex,Topwear,Hoodie,Red,Fall,Sport,Unisex Hoodie Red Sport,https://id.pinterest.com/pin/181269954586128815/
Women,Footwear,Sneakers,Pink,Summer,Sport,Women Sneakers Pink Sport,https://id.pinterest.com/pin/4611615724082754560/
Men,Topwear,Blazer,Navy,Spring,Formal,Men Blazer Navy Formal,https://id.pinterest.com/pin/181269953811532683/
Unisex,Accessories,Beanie,Gray,Winter,Casual,Unisex Beanie Gray Casual,https://id.pinterest.com/pin/233765036902859181/
Women,Shoes,Sandals,Navy,Summer,Casual,Women Sandals Navy Casual,https://id.pinterest.com/pin/4611615752857929728/
Men,Footwear,Loafers,Black,Fall,Formal,Men Loafers Black Formal,https://id.pinterest.com/pin/571394271978960208/
Unisex,Topwear,T-shirt,Orange,Summer,Casual,Unisex T-shirt Orange Casual,https://id.pinterest.com/pin/181269954038169390/
Women,Accessories,Belt,Black,Fall,Casual,Women Belt Black Casual,https://id.pinterest.com/pin/522839838002454582/
Men,Shoes,Oxfords,Tan,Spring,Formal,Men Oxfords Tan Formal,https://id.pinterest.com/pin/903112531540559783/
Unisex,Footwear,Jeans,Blue,Summer,Casual,Unisex Jeans Blue Casual,https://id.pinterest.com/pin/101331060543638498/
Women,Topwear,Cardigan,Purple,Fall,Casual,Women Cardigan Purple Casual,https://id.pinterest.com/pin/469359592432301743/
Men,Accessories,Watch,Black,Winter,Formal,Men Watch Black Formal,https://id.pinterest.com/pin/458733912061035935/
Unisex,Shoes,Boots,Gray,Winter,Casual,Unisex Boots Gray Casual,https://id.pinterest.com/pin/475552041928223951/
Women,Footwear,Wedges,Red,Summer,Casual,Women Wedges Red Casual,https://id.pinterest.com/pin/137289488880191588/
Men,Topwear,Polo Shirt,Green,Spring,Casual,Men Polo Shirt Green Casual,https://id.pinterest.com/pin/63683782241561564/
Unisex,Accessories,Backpack,Blue,Fall,Casual,Unisex Backpack Blue Casual,https://id.pinterest.com/pin/112027110993442933/
Women,Shoes,Heels,Silver,Winter,Formal,Women Heels Silver Formal,https://id.pinterest.com/pin/4611615765865083904/
Men,Footwear,Slip-ons,Brown,Summer,Casual,Men Slip-ons Brown Casual,https://id.pinterest.com/pin/1019009853181539377/
Unisex,Topwear,Blouse,Yellow,Spring,Casual,Unisex Blouse Yellow Casual,https://id.pinterest.com/pin/1138636718289021343/
Women,Accessories,Necklace,Brown,Fall,Formal,Women Necklace Brown Formal,https://id.pinterest.com/pin/210543351529161038/
Men,Shoes,Dress Shoes,Brown,Winter,Formal,Men Dress Shoes Brown Formal,https://id.pinterest.com/pin/527624912612648192/
Women,Footwear,Espadrilles,White,Summer,Casual,Women Espadrilles White Casual,https://id.pinterest.com/pin/189291990775464782/
Women,Topwear,Sweatshirt,Gray,Winter,Sport,Women Sweatshirt Gray Sport,https://id.pinterest.com/pin/982347737518090023/
Men,Accessories,Tie,Red,Spring,Formal,Men Tie Red Formal,https://id.pinterest.com/pin/98868154319350372/
Unisex,Shoes,Sneakers,Green,Fall,Sport,Unisex Sneakers Green Sport,https://id.pinterest.com/pin/82331501637226949/
Women,Footwear,Ankle Boots,Brown,Fall,Casual,Women Ankle Boots Brown Casual,https://id.pinterest.com/pin/571394271978976523/
Men,Topwear,Henley,White,Summer,Casual,Men Henley White Casual,https://id.pinterest.com/pin/15129348743560109/
Unisex,Accessories,Sunglasses,Brown,Summer,Casual,Unisex Sunglasses Brown Casual,https://id.pinterest.com/pin/137289488877426288/
Women,Shoes,Mules,Tan,Spring,Casual,Women Mules Tan Casual,https://id.pinterest.com/pin/474496510766895455/
Men,Footwear,Sandals,Black,Summer,Casual,Men Sandals Black Casual,https://id.pinterest.com/pin/721913015293388608/
Unisex,Topwear,Vest,Blue,Fall,Casual,Unisex Vest Blue Casual,https://id.pinterest.com/pin/571394271747414844/
Women,Accessories,Bracelet,Blue,Winter,Formal,Women Bracelet Blue Formal,https://id.pinterest.com/pin/4611615723740827648/
Men,Shoes,Loafers,Navy,Spring,Formal,Men Loafers Navy Formal,https://id.pinterest.com/pin/1015632153447579919/
Unisex,Footwear,Baggypants,Red,Summer,Casual,Unisex Baggypants Green Casual,https://id.pinterest.com/pin/782500504038306553/
Women,Footwear,Cargopants,Green,Fall,Casual,Women Cargopants Green Casual,https://id.pinterest.com/pin/189291990781544394/
Men,Footwear,Cargopants,Black,Fall,Casual,Men Cargopants Black Casual,https://id.pinterest.com/pin/877779783617604391/
Men,Footwear,Corduroypants,Brown,Fall,Casual,Men Corduroypants Brown Casual,https://id.pinterest.com/pin/154177987424851748/
Men,Footwear,Corduroypants,Red,Fall,Casual,Men Corduroypants Red Casual,https://id.pinterest.com/pin/210543351615371975/
Women,Footwear,Slip-ons,Pink,Summer,Casual,Women Slip-ons Pink Casual,https://id.pinterest.com/pin/912190099524624484/
Men,Topwear,Sweater,Gray,Fall,Casual,Men Sweater Gray Casual,https://id.pinterest.com/pin/22095854414530104/
Unisex,Accessories,Scarf,Purple,Winter,Casual,Unisex Scarf Purple Casual,https://id.pinterest.com/pin/529806343685758265/
Women,Shoes,Oxfords,Brown,Fall,Casual,Women Oxfords Brown Casual,https://id.pinterest.com/pin/746964288278428761/
Men,Footwear,Boots,Black,Winter,Casual,Men Boots Black Casual,https://id.pinterest.com/pin/982347737527834850/
Unisex,Topwear,Tank Top,Orange,Summer,Sport,Unisex Tank Top Orange Sport,https://id.pinterest.com/pin/571394271806197887/
Women,Accessories,Clutch,Red,Spring,Formal,Women Clutch Red Formal,https://id.pinterest.com/pin/49891508366701108/
Men,Shoes,Sneakers,White,Fall,Sport,Men Sneakers Yellow Sport,https://id.pinterest.com/pin/936396947511488449/
Unisex,Footwear,Wedges,Navy,Summer,Casual,Unisex Wedges Navy Casual,https://id.pinterest.com/pin/4611615738266667008/
Women,Topwear,Blazer,Green,Winter,Formal,Women Blazer Green Formal,https://id.pinterest.com/pin/193725221461471535/
Men,Accessories,Hat,Red,Summer,Casual,Men Hat Red Casual,https://id.pinterest.com/pin/1055812706388363181/
Unisex,Shoes,Sandals,Lime,Spring,Casual,Unisex Sandals Lime Casual,https://id.pinterest.com/pin/4611615778762560512/
Women,Footwear,Loafers,Red,Fall,Casual,Women Loafers Red Casual,https://id.pinterest.com/pin/959900108104690932/
Men,Topwear,Button-down,White,Spring,Formal,Men Button-down White Formal,https://id.pinterest.com/pin/243335186165835098/
Unisex,Accessories,Belt,Tan,Summer,Casual,Unisex Belt Tan Casual,https://id.pinterest.com/pin/80431543337960506/
Women,Shoes,Boots,Green,Winter,Casual,Women Boots Green Casual,https://id.pinterest.com/pin/510947520244749186/
Men,Footwear,Espadrilles,Blue,Summer,Casual,Men Espadrilles Blue Casual,https://id.pinterest.com/pin/210543351615932379/
Unisex,Topwear,Cardigan,Green,Fall,Casual,Unisex Cardigan Green Casual,https://id.pinterest.com/pin/189291990782437914/
Women,Accessories,Watch,Gold,Winter,Formal,Women Watch Gold Formal,https://id.pinterest.com/pin/782922716503154033/
Men,Shoes,Flats,Brown,Spring,Casual,Men Flats Brown Casual,https://id.pinterest.com/pin/572942383914588736/
Women,Footwear,Heels,Red,Summer,Formal,Women Heels Red Formal,https://id.pinterest.com/pin/572942383934396778/
Women,Topwear,Polo Shirt,Navy,Fall,Casual,Women Polo Shirt Navy Casual,https://id.pinterest.com/pin/452330356341313153/
Men,Accessories,Backpack,Black,Winter,Casual,Men Backpack Black Casual,https://id.pinterest.com/pin/1099582065782188247/